object,creator,description
"
                key holder
                			",Luca Parmegiani,"THIS IS A SUPPORT FOR PEOPLE WITH LESS ABILITY TO USE AN USUAL KEY. IT IS A KEY HOLDER THAT CAN HOLD TWO KEYS AND THAT HAS GOT A STRUCTURE TO FACILITATE ITS USE, GRIP AND TWIST. THE STUD STUCKS THE KEYS IN THE STRUCTURE AND CAN BE EASILY REMOVED TO REPLACE THE KEYS."
"
                Fork and spoon support for person with disabilities
                			",Luca Parmegiani,"This is a support for person with disabilities to use eating utensils. It is a multiple support where to apply fork and spoon, It is a single piece that fits the shape of the hand and where you can fit different types of forks and spoons, as well as a variety of other supports. in the structure there are two holes where to pass and to fit the eating utensils."
"
                Plastic bottle handle
                			",Corentin Paquet,This is a handle adaptable for all plastic bottles with a cap diameter of 28mm.It replace the original bottle cap using the same thread.
"
                Watch display stand
                			",Corentin Paquet,"This is a display stand for watches. Thanks to its design, watches are very easy to remove.Usefull and design!"
"
                The Little Prince - 'Drawing Number Two'
                			",Evavooo,"A support-free printable model of a snake consuming an elephant; inspired by the watercolour illustations from the French book Le Petit Prince (1943).'My drawing was not a picture of a hat. It was a picture of a boa constrictor digesting an elephant. But since the grown-ups were not able to understand it, I made another drawing: I drew the inside of the boa constrictor, so that the grown-ups could see it clearly. They always need to have things explained. My Drawing Number Two looking like this.....' - The Little Prince, by Antoine De Saint-Exupery.Check out more in the series.The initial concept behind transforming the illustations from 2D to 3D is to create resources to improve the experience of literature for the blind and partially sighted through rendering illustrations and graphics from well-known fiction into tactile objects and reliefs. Stay tuned :)_________________________________________________________________________If you purchase this object through the MyMiniFactory Store please note:This product will come unassembled and unpainted when you buy it. We encourage you to be creative, personalize it as you wish. Express your awesomeness and share a picture of the final result with us!Unless you have a particular request, the colour of your print will be chosen at random and will be printed in either ABS or PLA filament.Delivery time will be between 1 and 4 weeks from the moment you order the object. This is dependent on your location and the length of time the object takes to print.Email info@myminifactory.com if you would like any further information or if you have any special requests.Sometimes orders will be printed live on MyMiniFactory TV - check it out here._________________________________________________________________________"
"
                Ring Pull Can Opener
                			",Luca Parmegiani,"This is a support for people with less ability to open ring pull cans. Suitable for users with either arthritis or a weak grip. Extremely easy to use, just hook the end under the ring, fold forwards and then roll back. "
"
                Prothestic Hand
                			",Sonia Verdu,"Prothestic HandRemix: http://www.thingiverse.com/thing:1095104In this video explains the process. Enables subtitles https://youtu.be/uWL13vvi94sThis prosthesis has been designed to help those people with missing fingers.It has been modelled keeping in mind the following principles: -Keep the number of printed parts as low as possible. -Keep the assembly process as simple as possible. -Use the least possible amount of non-printable parts. In this new model, you can choose how to join fingers, using screws (2M), axes wire, or filament printer.The fingers flex when they are pulled by strings, such as fishing line, and extend automatically with the help of elastic cord.A fabric strap with velcro is needed to secure the prosthesis to the arm. You can download the original file blender, and thus can be studied and modified to improve its performance.I hope to be successful with modifications. Thank you very much to ""http://www.africadirecto.org/ "" for suggesting changes and help to improve the model https://youtu.be/9YwDoLA-IRMPrint SettingsRafts: NoSupports: NoResolution: 0.2 mm Notes:-Dixtal pieces: printed flexible filament ""filaflex"" - 80% filling -Hand, Wrist and Proximal pieces: 20% filling -links and cover pieces: 20% fillingPost-PrintingTutorial: http://www.instructables.com/id/Prothestic-Hand/"
"
                plastic bottle opener for hand support
                			",Luca Parmegiani,"This is a support for person with disabilities to use hands to open plastic bottles. The plastic bottle opener is applicable to the hand support, with little pressure gets stuck in the hand support, then just insert it into the bottle cap and turn your hand. You can open and close the bottles without using your fingers.To be used with this attachment."
"
                Little Prince Revolving Planet
                			",Evavooo,"A revolving figurine of the Little Prince on his asteroid B-612, inspired by the original watercolour illustations by French author Antoine De Saint-Exupery (1943).Prints perfectly with no support, and comes with a stand featuring both braille and regular text.“One sees clearly only with the heart. Anything essential is invisible to the eyes.”  ― Antoine de Saint-Exupéry,  The Little Prince Check out more designs in the Le Petit Prince 2D illustrations to 3D objects series._________________________________________________________________________If you purchase this object through the MyMiniFactory Store please note:This product will come unassembled and unpainted when you buy it. We encourage you to be creative, personalize it as you wish. Express your awesomeness and share a picture of the final result with us!Unless you have a particular request, the colour of your print will be chosen at random and will be printed in either ABS or PLA filament.Delivery time will be between 1 and 4 weeks from the moment you order the object. This is dependent on your location and the length of time the object takes to print.Email info@myminifactory.com if you would like any further information or if you have any special requests.Sometimes orders will be printed live on MyMiniFactory TV - check it out here._________________________________________________________________________"
"
                Assistive Bottle Opener
                			",PrintLab,"A bottle opener that helps those with arthritis or a weak grip to open screw cap bottles. The model is an example outcome from PrintLab's 'Make an Assistive Bottle Opener' lesson plan, where students can create their own unique designs."
"
                The Little Prince - 'Draw me a sheep...'
                			",Evavooo,"A set of support-free printable sheepies, inspired by the watercolour illustations from the French book Le Petit Prince (1943).'Where I live, everything is very small. What I need is a sheep. Draw me a sheep. So then I made a drawing. He looked at it carefully, then he said: “No. This sheep is already verysickly. Make me another.” So I made another drawing. My friend smiled gently and indulgently.“You see yourself,” he said, “that this is not a sheep. This is a ram. It has horns. So then I did my drawing over once more. But it was rejected too, just like the others. “This one istoo old. I want a sheep that will live a long time... ' - The Little Prince, by Antoine De Saint-Exupery.Check out more in the series.The initial concept behind transforming the illustations from 2D to 3D is to create resources to improve the experience of literature for the blind and partially sighted through rendering illustrations and graphics from well-known fiction into tactile objects and reliefs. I have included some progress screen shots of the modelling process in zbrush aswell. Stay tuned for more in the series..._________________________________________________________________________If you purchase this object through the MyMiniFactory Store please note:This product will come unassembled and unpainted when you buy it. We encourage you to be creative, personalize it as you wish. Express your awesomeness and share a picture of the final result with us!Unless you have a particular request, the colour of your print will be chosen at random and will be printed in either ABS or PLA filament.Delivery time will be between 1 and 4 weeks from the moment you order the object. This is dependent on your location and the length of time the object takes to print.Email info@myminifactory.com if you would like any further information or if you have any special requests.Sometimes orders will be printed live on MyMiniFactory TV - check it out here._________________________________________________________________________"
"
                Ball Socket Joint
                			",Luca Parmegiani,This is a spherical ball and socket joint that can be used to make flexible objects or clip parts together.
"
                Easy chopstick!
                			",Andres Canan,"Hello! I challenge myself today in create a help/cheat piece to use with conventional oriental chopstiks.Why? Because I had a pair of chpsticks in my toolbox and decided to do something with it and also because a lot of people is not keen on use this things (like my wife) and I wanted to create something useful for them.The real challenge was not to google or investigate for previous options already made by other people, I wanted to solve the problem, create a design, print it, test it, fail, fix, and improve.Finally the funny part was search in google for other solutions already made and discover that I had achieve a very close design than the existent ones. Hope you like it. PS: I made other solution very different than this. I hope to post it soon."
"
                Towel Hanger
                			",Johnny Qin Hansen,A prctical hanger for your towel.
"
                Robotic Prosthetic Hand
                			",Ryan Gross,"This is a project I have been working on for around a year and a half now, and this is close to the final product. However, before it is completely done I will need to touch up on the code and find an amputee to test it out on. The overall price is a little under $100, it uses 2 servos (1 for the thumb and 1 for the other 4 fingers) and is controlled by a Myoware muscle sensor. I used some more powerful servos for added strength, but standard servos can also be used. The materials are:Servo http://www.banggood.com/JX-PDI-6221MG-20KG-Large-Torque-Digital-Coreless-Servo-For-RC-Model-p-973947.htmlBattery https://www.pololu.com/product/2224Flexible Nylon Paracord to pull finger back http://www.paracordplanet.com/black-1-8-shock-cord/?gclid=CjwKEAjwoPG8BRCSi5uu6d6N5WcSJABHzD8F0L0fHDhT_dqwNNAAP0UubP1OmgCBMNTkp_OyXJ0xuBoC05Tw_wcBArduino Nano http://www.banggood.com/NANO-IO-Shield-Expansion-Board-Nano-V3-Improved-Version-With-Cable-For-Arduino-p-1010993.htmlRubber Sheet http://www.ebay.com/itm/NEOPRENE-RUBBER-SHEET-1-32-THK-X-36-x12-WIDE-60-DURO-5-/252444357962?hash=item3ac6db354a:m:mfM4gXGbn2nDErOINfWRrrQFishing wire anywhereI will try to post soon a video on how to assemble the arm, it is fairly simple so I'm sure most people could figure it out, however, there are some tips to putting it together that can make the arm work a bit better and easier to put together.I strongly support any improvements or modifications to the arm, if you have any I would love to have a look! You can E-mail me at grossrc46468@gmail.com also if you have any questions you can ask me at the same E-mail. Hope you like the project!"
"
                Pen holder for hand support
                			",Luca Parmegiani,"This is a support for a person with disabilities to use a pen to write. It is a support that allows to load a 8 mm diameter pen on the ""Hand support"". The advantage is the possibility to write without the use of the fingers in case of articulation problems. To be used with this attachment."
"
                Hackcess Handy Holder
                			",Evavooo,"A modular design, which can be printed in less than 6 hours, and attached easily to any wheelchair with a 30mm diameter frame or bar. Comes with attachment for holding a disposable coffee/tea mug.Check out more of my work here.More about the project get be found here - http://handyholder.co/The ball connection originates from Luca's ball socket design.Created during Hackcess Hackathon Nov 2015 at Goldsmiths Uni, supported by Autodesk, Fablab London, Whizz-Kids Charity and Ultimaker UK."
"
                Key holder with holes
                			",Luca Parmegiani,This is a support for people with less ability to use an usual key. It is a key holder composed of two pieces that fit together to keep the key and two holes where to put your fingers to get a better grip when using the key.
"
                Key Condenser
                			",Blaine Costello,"Small plates with space for M3 nuts with holes tappable by 14mm M3 screws (Designed such that these 14mm screws will allow you to hold 4 keys).  To setup in g-code software, multiply the part and mirror one of them about the X-axis.  Assembly Instructions:First screw the M3 screw through one side (into the hole on the largest hexagon) to the point where the tip of the screw is slightly less than the width of 4 keys from the inside surface.  place the keys on the screw and place the other printed plate on the other side. Screw the screw that holds the keys' heads in place (top screw) first while tightly squeezing the keys together.  Screw in the remaining screws."
"
                Kelmannens toothbrush holder / hanger
                			",Karl Liljeström,"does fit in the prefabholes in the ikea locker, or simply screw it on any wall, the 4mm/6mm is the size of the holes to fasten it, the plug is a 5x20mm plug that locks itself in a 5m hole, no supports needed, prints like a charm! The uploaded file does not have my kids names on the holders either :P"
"
                Pill Splitter
                			",Aliaksei Petsiuk,"Total price of the object is less than $1, available commercial alternatives cost 6 to 20 dollars(https://www.alimed.com/pill-splitter.htmlhttps://www.arthritissupplies.com/product.asp?lt_c=1&itemid=1996&qv=1&). Features: Material and printing parameters:"
"
                Knife Guide Arthritis Aid
                			",Christopher Thormodson,This Knife Guide is designed to assist in cutting up ingredients for people with arthritis. It allows them to use the guide as a grip instead of the top of the knife. The cost of this print in about $0.53 in plastic and about $1.00 in nuts and bolts. Similar devices sell for $10.00 online. I included both a 3mm and 2mm spacer. Feel free to print both to see which one works best for you. Or just print the 3mm to be on the safe side. Parts needed2x 4M*18 Bolts2X 4M Nuts
"
                The Little Prince - 'Boa Constrictor in the act of swallowing an animal...'
                			",Evavooo,"The first in a series i'll be making, inspired by the watercolour illustations from the French book Le Petit Prince (1943).'Once when I was six years old I saw a magnificant picture in a book, called True Stories from Nature, about the primeval forest. It was a picture of a boa constrictor in the act of swallowing an animal. Here is a copy of the drawing.' - The Little Prince, by Antoine De Saint-Exupery.Check out more in the series.I've included some screen-shots from the progress in the design software modelling the snake and furry creature.The initial concept behind transforming the illustations from 2D to 3D is to create resources to improve the experience of literature for the blind and partially sighted through rendering illustrations and graphics from well-known fiction into tactile objects and reliefs. Stay tuned :)_________________________________________________________________________If you purchase this object through the MyMiniFactory Store please note:This product will come unassembled and unpainted when you buy it. We encourage you to be creative, personalize it as you wish. Express your awesomeness and share a picture of the final result with us!Unless you have a particular request, the colour of your print will be chosen at random and will be printed in either ABS or PLA filament.Delivery time will be between 1 and 4 weeks from the moment you order the object. This is dependent on your location and the length of time the object takes to print.Email info@myminifactory.com if you would like any further information or if you have any special requests.Sometimes orders will be printed live on MyMiniFactory TV - check it out here._________________________________________________________________________"
"
                Mechanical Hand
                			",MyMiniFactory,"This is a model of a mechancal hand that can be use to teach your kids how the human body works or just for fun. Its many small parts must be assembled, a fun challenge in itself! How about printing out the pieces in different filaments for a more striking finished piece?"
"
                GLIFO
                			",Luca Toscano,"Glifo is composed by different tools which able kids suffering from disabilities to express their creativity. This has been reached through 3d printed objects that let them draw and write easily and freely. The project has been realized for TOG foundation (Milan), which takes care of these kids, in collaboration with the italian fablab Opendot (Milan). Many children suffer from pathologies which compromise their ability to draw and write. This is due to hand shapes and postures that make almost impossible this apparently simple gesture.Usually happens that these children are not able to open their hands because these are completely tighten or warped. That's why the only way to design was using back-hand and fingers as refernces.Our main goals were to make this object EASY TO REPLICATE, EASY TO CLEAN and EASY TO CARRY but also COMFORTABLE and CUSTOMIZABLE. Making it colorful and appealing for kids was not less important at all.The design comes from the necessity to make the pen always point on the paper, working alongside the hand movements. The largest pen/pencil it can fit is 10mm in diameter and the handle variations are theorically endless. credits:designed by Elisa Castelletta / Giovanni Dipilato / Sara Monacchi / Andrea Pelino / Luca Toscanoin collaboration with TOG Fundation (http://togethertogo.org) and Opendot (http://www.opendotlab.it)"
"
                3D Braille Keyboard Labels (All Keys)
                			",Ali Ramezani,"Since Braille Keyboards are not available for everyone and they are more expensive than regular keyboards, I decided to design Keyboard covers with Braille tactile writing system. This design includes all keys for Windows and Mac keyboards and can be used for Laptop as well.To paste these covers to keys, you can use double sided tapes or hot glue."
"
                PIP 15 Puzzle (Braille version available!!!)
                			",Andres Canan,"Hello everyone!This is my entry for the ""Make Anything Design Challenge: PUZZLES""The 15-puzzle (also called Gem Puzzle, Boss Puzzle, Game of Fifteen, Mystic Square and many others) is a sliding puzzle that consists of a frame of numbered square tiles in random order with one tile missing.The object of the puzzle is to place the tiles in order by making sliding moves that use the empty space.Since the first moment I'd started to think in this challenge my idea was to do something else than a simple puzzle, infact this is a very simple puzzle, but that's why I made a Braille version of this game for reduced vision or blind people.The second idea was to design a piece that is PIP (Print In Place) and P&P (Print and Play), that's why the numbers are disordered except for the Braille version which is ordered (from 1 to 15) for a better initial recognition.I would be very very happy if you know someone with this condition who you can print this puzzle.I hope you can print it and have fun with it.Happy Printing!"
"
                Peter Krige - water cap and flex tap
                			",Peter,Design by Peter Kirge - A hose or plastic tube is attached to the inner nozzle on the Water Cap. This is then inserted into the water container. The cap is screwed on and the inner rubber washer ensures an air tight seal. The water container is half filled with water.Then a longer piece of hose or plastic tube is attached to the outer nozzle and its other end installed in the flex tap. The flex tap works by creating a kink in the tube which controls or stops the water flow depending on how much the user flexes the handle.A bicycle pump is connected to the schrader valve and the container pressurised with air.ADD YOUR COMMENTS BELOW!
"
                Hand
                			",BQ 3D,"This prosthesis has been designed to help those people with missing fingers.It has been modelled keeping in mind the following principles:-Keep the number of printed parts as low as possible-Keep the assembly process as simple as possible-Use the least possible amount of non-printable parts. The bolts and nuts in the joints have been replaced by bits of 1.75mm filament.-Leave openings in the model to allow the hand to transpire-Allow a higher degree of freedom in the wristThe fingers flex when they are pulled by strings, such as fishing line, and extend automatically with the help of elastic cord.A fabric strap with velcro is needed to secure the prosthesis to the arm.The model is open-source, and thus can be studied and modified to improve its performance.https://youtu.be/0TF3ih02L9AAuthor: http://www.soniaverdu.es/Print SettingsRafts: Doesn't MatterSupports: Doesn't MatterResolution: 0.2 mmInfill: 10% Notes:For greater resistance: Shell thinkness(mm) 1.2Post-PrintingYou can use tape boxer, it is cotton. Then you can add velcro where you need it."
"
                Pencil Holder 50mm
                			",Hugh Cowart,"This is a remix of my Pencil holder which was 100mm tall. It used up a lot of filament even with no infil but it was very flimsy. This one I setup to use about the same amount of filament but was half the hight. The hinge lets you quickly re-arrange or split up your tools of choice for your art projects. Also, at 50mm high it works great for crayons. The 100mm version will swallow them, and any well used (loved) pencils as well. If you want one printed for you, head on over to our Etsy Shop . However I will warn you... the amount of material and time makes this one a bit more expensive than you would think. Still cheaper than shapeways, and most printing services I have seen. I am still working on version that use less material. "
"
                Toothbrush cap
                			",Corentin Paquet,"""Wich is mine?""Finish this kind of question. With a 3D printed toothbrush cap, one person = on color."
"
                Holder iphone 6 Plus for hand support
                			",Luca Parmegiani,"This support is meant to facilitate persons with disabilities holding phones. It is composed of three pieces and can be used with Iphone 6 plus. It can rotate in order to use the phone in vertical and horizontal position. The advantage is the possibility to hold a phone without using fingers, in case of articulation problems.Based on the hand support for forks and spoons"
"
                Slide Key Holder
                			",Luca Parmegiani,This is a support for people with less ability to use an usual key. It is a key holder composed of three pieces. There is a track between the two pieces which allows the sliding of the key. The pieces fit together to keep the key and there are two holes where to put your fingers to get a better grip when using the key.
"
                Derby cane
                			",alan stanford,"Comfortable cane handle. Just add a 1"" hardwood dowel and you are ready to go for your costume."
"
                Prosthetic Hand Concept
                			",Jonathan Holman,"This object was entered in the MakeShaper Design Challenge (see all entries here).This model is an interesting test of the concept of Interface Bonds. As TPU has some difficulty adhering to PETG and ABS when printed directly onto a face, a better, and more durable mode of adhesion for heavy use applications is needed. Interface bonds are when a material is bonded to another with the use of internal geometry. The flexible sections have links inside the fingers to prevent them from becoming loose, and it is a very strong connection.This concept of Interface Bonds has quite a few applications, and prosthetic limbs are one of them. More realistic movements, lower cost and easier customization to each patient can be acheved with the use of a rigid material combined with a flexible material.This model has internal geometry to be able to run fising line through, to act as tendons. The recommended material for the joints is TPU 85A. 95A might be too stiff, and I have not tested with 60A.I scaled the print up by a factor of 1.2, or 120% for the test model. Depending on what diameter of the fishing line you get for the tendons, printing even larger might be required."
"
                Easy open ring pull and screw top bottle opener
                			",Reg Taylor,"This ring pull make opening tins and cans childs play even for those with no real force in the wrist. Just lift up the ring pull using the handle then hook and roll the ring pull opening the can like cutting soft butter. Ideal for older ages that often loose some of that much needed wrist power or poeple with mobility problems. Keep your eyes open on these pages as over the next few weeks I plan to do a series of mobility aides that will help too make life easier for those in need. Also doubles as an aid for opening screw bottle tops.Happy Printing Prints with 3 top and bottom layers, 4 outer layers and 20% infill.Printed in PLA and takes 2 1/2 hours"
"
                Miter Guide for Woodwork and Trim
                			",Pete Schupska,"Watch the Video HereI've got a lot of trim work that I need to finish in the house, and don't like lugging the power miter saw all over. So I designed this pocket sized miter guide specifically for cutting quarter-round and toe molding.I designed this tool in Fusion360 and printed it on the Monoprice Select Mini 3D printer. It is sized to fit boards up to 40mm wide and can easily accommodate a standard 1x2 board."
"
                BIC PEN HOLDER FOR HAND SUPPORT
                			",Luca Parmegiani,"This is a support for a person with disabilities to use a pen to write. It is for BIC Pen to use with the ""Hand support"". The advantage is the possibility to write without the use of the fingers in case of articulation problems."
"
                BACKPACKS HOOK
                			",Kevin Thomas,I needed a hook to organize my backpacks so I designed this. Hope you like it!(they fit a 16mm diameter bar)
"
                Playing Card Holder - Holds Your Cards For You While You Play!
                			",Muzz64,"The easiest way to hold your playing cards while you play is to not have to hold them at all!This Playing Card Holder does exactly that... it holds your cards as you would in your own hand. It has been designed to angle the cards backwards, but not too far so others cannot see them, as well as being curved so it will hold one card in place as well as a full hand of up to 13 cards.To use just sort and fan your cards as usual and slot them into the holder... then draw them out as/when required.You don't need to hold your cards up at all as the curvature and angle do it all for you... plus, there is a small bridge at each end so the cards won't slide out the side. Once placed in correctly, and as long as care is taken when drawing out cards to play, your cards will stay secure for the duration of the game.If you like this take time to check out my other designs!"
"
                Scissor Arthritis Aid
                			",aubrey,"This is a design for the MY4777 3D printing class at Michigan Tech. This is for the Adaptive Aid project. I chose to design and print an aid for helping people with arthritis use scissors. I printed the base at low infill to reduce material costs, the rest of the parts need to be strong, and require a higher infill. I also printed at the highest layer height I could for my printer to reduce print times. It requires the following parts: 4X M3x10mm bolt 4X M3 Heat Set Insert2X Zipties1X Pair of Scissors 4X Printed PartsTotal Cost: ~$9.00 USDCost of Actual Device: $31.95 USD Link: https://www.arthritissupplies.com/mounted-table-top-scissors.html To assemble, first ziptie scissors to base using two zipties, one on either side. Then place the scissor clamp onto the base using the m3 heat set inserts into the printed part, and m3x10mm screws. Finally assemble the top and bottom of the push handle using 2 more m3 heat inserts and m3x10mm screws. Future improvements:Use spring loaded scissors to improve usability, or figure out how to use springs or rubber bands to work with any scissors. Use magnets, double sided tape, or weights to help hold the entire assembly down to the table."
"
                3D print prosthetic foot
                			",J Vargas,"This is a modular prosthetic foot, a fully 3D printable prosthetic foot, using modular architecture principles.The design is open source and you can download, test it and improve it.DISCLAIMER: Be careful and DO NOT use it without help of a prosthetit, although in the video the amputee performed a gait test using the prosthetic foot, it is still a prototype and current 3D printing materials will probably fail after a couple of uses (because of the fatigue stress), I used ABS but you could test it with PC, nylon, nylon-carbon fiber or other.To assembly the prosthetic foot, you need:3D printed parts:KeelSoleTop x2Non-3D printed components:1 or 2 spring for the heel component4 x M4 bolts (40mm length) and nuts for assembly the pyramid adapter and the keel2 x M5 bolts (20mm length) and nuts for assembly the bottom of the springs to the sole2 x M4 bolts (20mm length) and nuts for assembly top of the springs to the keel1 x M6 bolt (20mm length) and nut for assembly the sole with keel in the front4 x washers for keeping secure the springGait test video:youtube.com/watch?v=hhjsND-j9GsAs you can see in the picture, one can adjust the height of the foot by scaling up in Z the size of the Top-adapters. Adjust the length of the foot (1cm = 1 foot size) by adjusting the position of the sole; and one can modify the stiffness of the springs or its amount according to the user preference."
"
                prosthesis for dogs
                			",Airat Fakhrutdinov,"prosthesis for dogs, was created with our designer, we are engaged in the help of animals in our country. Our group is on Facebook, by the way any help and donations are accepted, it helps us to develop new prosthetic devices for animals and help many homeless animals in the country. The prosthesis is suitable for dogs up to 15 kg and no more on the hind paw."
"
                key holder
                			",domanic devivo,"Ment for handicap (such as alzheimer's , or eldery) or any one having issues sorting their keys. Orginze their keys, so they know which key is which, and the top can be labled. Simpley put the top part onto the other and tou have the key holder. can another hole has been added to place it on a key chain."
